"haul","string","l","n_1","n_2","q_1","q_2"
1,"A",25,0,1,1,1
1,"A",27,0,1,1,1
1,"A",29,0,1,1,1
1,"A",30,1,2,1,1
1,"A",31,2,0,1,1
1,"A",32,1,0,1,1
1,"A",37,0,1,1,1
1,"A",39,1,0,1,1
1,"B",30,0,1,1,1
1,"C",22,1,0,1,1
1,"D",27,1,1,1,1
1,"D",28,0,1,1,1
1,"D",29,2,2,1,1
1,"D",30,1,3,1,1
1,"D",31,1,1,1,1
1,"D",32,2,1,1,1
1,"D",33,3,0,1,1
1,"D",35,1,1,1,1
1,"D",36,2,0,1,1
1,"D",52,0,1,1,1
3,"A",29,1,0,1,1
3,"A",31,1,1,1,1
3,"A",34,1,0,1,1
3,"A",39,1,0,1,1
3,"C",32,0,1,1,1
3,"D",27,1,0,1,1
3,"D",30,1,0,1,1
3,"D",31,0,1,1,1
3,"D",33,0,3,1,1
4,"C",33,1,0,1,1
5,"C",30,1,0,1,1
5,"C",32,0,1,1,1
5,"C",34,0,1,1,1
5,"D",25,0,1,1,1
5,"D",28,0,1,1,1
5,"D",35,0,1,1,1
6,"B",29,0,1,1,1
9,"A",27,0,1,1,1
9,"B",39,1,0,1,1
9,"B",40,0,1,1,1
9,"D",43,0,1,1,1
10,"D",37,1,0,1,1
11,"C",38,0,1,1,1
12,"B",43,0,1,1,1
12,"C",34,1,0,1,1
12,"C",42,1,0,1,1
12,"C",47,0,1,1,1
14,"B",52,0,1,1,1
14,"C",34,1,0,1,1
14,"C",37,0,1,1,1
14,"D",44,0,1,1,1
15,"C",32,0,1,1,1
16,"A",28,2,0,1,1
16,"A",29,2,0,1,1
16,"A",32,1,0,1,1
16,"A",33,2,1,1,1
16,"A",34,1,0,1,1
16,"A",45,1,0,1,1
16,"B",27,0,1,1,1
16,"B",29,0,1,1,1
16,"B",31,1,0,1,1
16,"B",32,2,0,1,1
16,"B",33,2,0,1,1
16,"B",37,1,0,1,1
16,"B",41,1,0,1,1
16,"B",51,0,1,1,1
16,"B",52,0,1,1,1
16,"C",28,1,1,1,1
16,"C",30,1,1,1,1
16,"C",32,1,0,1,1
16,"D",30,1,0,1,1
16,"D",33,0,1,1,1
16,"D",34,1,0,1,1
17,"A",39,1,0,1,1
17,"D",38,1,0,1,1
17,"D",42,1,0,1,1
18,"A",39,0,1,1,1
18,"A",42,0,1,1,1
18,"A",45,1,1,1,1
18,"A",46,0,1,1,1
18,"C",42,1,0,1,1
18,"D",34,0,1,1,1
18,"D",37,1,0,1,1
18,"D",46,0,1,1,1
18,"D",52,1,0,1,1
20,"A",33,0,1,1,1
