"haul","string","l","n_1","n_2","q_1","q_2"
1,"A",25,1,0,1,1
1,"A",29,0,1,1,1
1,"B",21,0,1,1,1
1,"B",24,2,0,1,1
1,"B",26,0,1,1,1
1,"B",27,0,1,1,1
1,"C",23,1,0,1,1
1,"C",25,0,1,1,1
2,"A",24,0,1,1,1
2,"A",28,1,1,1,1
2,"B",20,1,0,1,1
2,"B",24,1,0,1,1
2,"B",25,0,1,1,1
2,"B",26,1,1,1,1
2,"B",28,2,0,1,1
2,"C",20,1,0,1,1
2,"C",23,1,0,1,1
2,"C",29,1,0,1,1
3,"A",27,1,1,1,1
3,"B",20,1,1,1,1
3,"B",21,0,1,1,1
3,"B",22,1,0,1,1
3,"B",23,1,0,1,1
3,"B",24,2,2,1,1
3,"B",25,2,1,1,1
3,"B",26,3,3,1,1
3,"C",24,1,0,1,1
4,"A",24,0,1,1,1
4,"A",25,1,0,1,1
4,"A",26,0,2,1,1
4,"A",28,1,2,1,1
4,"B",24,3,0,1,1
4,"B",25,4,3,1,1
4,"B",26,3,3,1,1
4,"B",27,1,0,1,1
4,"B",28,1,0,1,1
4,"B",30,1,0,1,1
4,"C",26,0,1,1,1
4,"C",27,0,1,1,1
4,"C",28,0,1,1,1
4,"D",24,1,0,1,1
5,"A",26,0,1,1,1
5,"A",31,1,0,1,1
5,"B",24,1,0,1,1
5,"C",22,1,0,1,1
5,"C",23,1,0,1,1
5,"C",24,5,1,1,1
5,"C",25,2,2,1,1
5,"C",26,5,3,1,1
5,"C",27,1,3,1,1
5,"C",28,8,4,1,1
5,"C",29,2,4,1,1
5,"C",30,1,3,1,1
5,"C",31,3,0,1,1
5,"C",32,3,1,1,1
5,"C",33,1,0,1,1
5,"C",34,1,0,1,1
5,"C",35,1,0,1,1
5,"C",36,2,0,1,1
5,"C",37,1,0,1,1
5,"D",22,2,4,1,1
5,"D",23,0,3,1,1
5,"D",24,4,2,1,1
5,"D",25,2,1,1,1
5,"D",26,2,6,1,1
5,"D",27,2,2,1,1
5,"D",28,1,1,1,1
5,"D",30,2,1,1,1
5,"D",31,1,2,1,1
5,"D",32,1,0,1,1
6,"B",22,1,0,1,1
6,"B",24,0,1,1,1
6,"B",25,0,2,1,1
6,"B",26,1,0,1,1
6,"B",27,1,1,1,1
6,"B",28,0,2,1,1
6,"B",29,0,1,1,1
6,"B",30,0,1,1,1
6,"B",31,1,1,1,1
6,"B",32,2,2,1,1
6,"B",34,0,2,1,1
