"haul","string","l","n_1","n_2","q_1","q_2"
1,"A",28,0,1,1,1
1,"A",29,0,1,1,1
1,"A",33,1,0,1,1
1,"A",38,1,0,1,1
1,"B",26,1,0,1,1
1,"B",27,1,0,1,1
1,"B",29,1,0,1,1
1,"B",31,0,1,1,1
1,"B",34,1,1,1,1
1,"C",25,0,2,1,1
1,"C",27,1,0,1,1
1,"C",29,1,0,1,1
1,"C",30,1,0,1,1
1,"C",32,0,1,1,1
1,"C",33,0,1,1,1
1,"D",24,2,2,1,1
1,"D",26,1,0,1,1
1,"D",27,1,2,1,1
1,"D",28,3,2,1,1
1,"D",29,4,5,1,1
1,"D",30,5,10,1,1
1,"D",31,5,2,1,1
1,"D",32,3,4,1,1
1,"D",33,4,7,1,1
1,"D",34,6,7,1,1
1,"D",35,1,1,1,1
1,"D",36,3,1,1,1
1,"D",37,2,1,1,1
1,"D",38,1,0,1,1
1,"D",40,1,1,1,1
2,"A",26,0,1,1,1
2,"A",27,0,1,1,1
2,"A",29,1,2,1,1
2,"A",30,4,6,1,1
2,"A",32,2,4,1,1
2,"A",33,9,6,1,1
2,"A",34,3,4,1,1
2,"A",35,2,3,1,1
2,"A",36,5,1,1,1
2,"A",37,4,2,1,1
2,"A",38,0,1,1,1
2,"B",25,0,1,1,1
2,"B",28,1,0,1,1
2,"B",29,5,3,1,1
2,"B",30,5,4,1,1
2,"B",31,5,1,1,1
2,"B",32,2,4,1,1
2,"B",33,9,1,1,1
2,"B",34,3,3,1,1
2,"B",35,2,2,1,1
2,"B",36,3,1,1,1
2,"B",38,1,0,1,1
2,"B",39,1,1,1,1
2,"C",27,1,1,1,1
2,"C",28,2,2,1,1
2,"C",29,1,5,1,1
2,"C",30,4,2,1,1
2,"C",31,6,1,1,1
2,"C",32,6,9,1,1
2,"C",33,7,7,1,1
2,"C",34,5,2,1,1
2,"C",35,5,1,1,1
2,"C",36,2,1,1,1
2,"C",37,1,1,1,1
2,"C",39,4,0,1,1
2,"C",40,0,2,1,1
2,"C",41,1,0,1,1
2,"D",26,0,1,1,1
2,"D",28,0,1,1,1
2,"D",29,1,1,1,1
2,"D",30,0,3,1,1
2,"D",31,2,1,1,1
2,"D",32,2,5,1,1
2,"D",33,3,5,1,1
2,"D",34,6,2,1,1
2,"D",35,2,3,1,1
2,"D",36,1,0,1,1
2,"D",39,1,0,1,1
3,"A",28,0,1,1,1
3,"A",30,0,2,1,1
3,"B",25,1,0,1,1
3,"B",26,2,3,1,1
3,"B",27,3,7,1,1
3,"B",28,2,0,1,1
3,"B",29,6,3,1,1
3,"B",30,3,4,1,1
3,"B",31,7,6,1,1
3,"B",32,8,2,1,1
3,"B",33,6,5,1,1
3,"B",34,1,4,1,1
3,"B",35,2,1,1,1
3,"B",36,2,5,1,1
3,"B",37,1,0,1,1
3,"B",39,1,0,1,1
3,"B",40,0,1,1,1
