"","haul","string","l","n_1","n_2","q_1","q_2"
"1",1,"A",26,1,0,1,1
"2",1,"A",28,0,1,1,1
"3",1,"A",30,1,1,1,1
"4",1,"A",31,0,1,1,1
"5",1,"A",33,1,2,1,1
"6",1,"A",34,0,1,1,1
"7",1,"A",35,1,0,1,1
"8",1,"B",27,0,1,1,1
"9",1,"B",28,1,0,1,1
"10",1,"B",30,0,1,1,1
"11",1,"B",32,1,2,1,1
"12",1,"B",33,1,1,1,1
"13",1,"B",34,1,1,1,1
"14",1,"B",38,2,0,1,1
"15",1,"C",24,0,1,1,1
"16",1,"C",25,1,0,1,1
"17",1,"C",27,0,1,1,1
"18",1,"C",28,2,0,1,1
"19",1,"C",29,0,1,1,1
"20",1,"C",30,1,3,1,1
"21",1,"C",31,0,2,1,1
"22",1,"C",32,0,4,1,1
"23",1,"C",34,3,1,1,1
"24",1,"C",35,1,0,1,1
"25",1,"C",36,0,1,1,1
"26",1,"D",23,0,1,1,1
"27",1,"D",25,1,1,1,1
"28",1,"D",26,1,2,1,1
"29",1,"D",27,1,0,1,1
"30",1,"D",28,4,3,1,1
"31",1,"D",29,2,3,1,1
"32",1,"D",30,1,1,1,1
"33",1,"D",31,1,1,1,1
"34",1,"D",32,2,0,1,1
"35",1,"D",33,1,2,1,1
"36",1,"D",35,1,0,1,1
"37",1,"D",37,0,1,1,1
"38",1,"D",45,0,1,1,1
"39",2,"A",25,2,0,1,1
"40",2,"A",26,1,0,1,1
"41",2,"A",27,1,0,1,1
"42",2,"A",28,0,2,1,1
"43",2,"A",29,4,0,1,1
"44",2,"A",30,5,2,1,1
"45",2,"A",31,2,3,1,1
"46",2,"A",32,5,7,1,1
"47",2,"A",33,2,7,1,1
"48",2,"A",34,2,2,1,1
"49",2,"A",35,1,2,1,1
"50",2,"A",36,0,1,1,1
"51",2,"A",38,0,2,1,1
"52",2,"A",39,1,0,1,1
"53",2,"A",40,2,0,1,1
"54",2,"A",44,1,0,1,1
"55",2,"B",26,0,2,1,1
"56",2,"B",28,1,0,1,1
"57",2,"B",29,2,2,1,1
"58",2,"B",30,1,4,1,1
"59",2,"B",31,4,7,1,1
"60",2,"B",32,1,1,1,1
"61",2,"B",33,1,3,1,1
"62",2,"B",34,0,1,1,1
"63",2,"B",35,0,2,1,1
"64",2,"B",36,0,1,1,1
"65",2,"B",38,0,1,1,1
"66",2,"B",39,1,0,1,1
"67",2,"C",28,1,2,1,1
"68",2,"C",29,2,5,1,1
"69",2,"C",30,1,0,1,1
"70",2,"C",32,2,1,1,1
"71",2,"C",33,0,1,1,1
"72",2,"C",34,0,2,1,1
"73",2,"C",35,2,1,1,1
"74",2,"D",27,0,2,1,1
"75",2,"D",29,4,3,1,1
"76",2,"D",30,1,2,1,1
"77",2,"D",31,2,4,1,1
"78",2,"D",32,3,3,1,1
"79",2,"D",34,2,2,1,1
"80",2,"D",35,1,0,1,1
