"haul","string","l","n_1","n_2","q_1","q_2"
1,"B",23,1,0,1,1
1,"B",26,0,1,1,1
1,"B",30,0,1,1,1
1,"C",27,1,0,1,1
1,"D",28,0,1,1,1
1,"D",36,2,0,1,1
1,"D",37,1,0,1,1
3,"B",26,1,0,1,1
3,"B",32,1,0,1,1
4,"B",24,1,0,1,1
5,"A",36,1,0,1,1
5,"B",23,0,2,1,1
5,"B",24,1,4,1,1
5,"B",25,0,2,1,1
5,"B",26,3,0,1,1
5,"B",27,4,0,1,1
5,"B",28,0,1,1,1
5,"B",29,0,1,1,1
5,"B",30,0,1,1,1
5,"C",22,1,0,1,1
5,"C",24,0,1,1,1
5,"C",25,0,3,1,1
5,"C",26,1,1,1,1
5,"C",40,0,1,1,1
5,"D",25,1,0,1,1
5,"D",26,0,1,1,1
5,"D",30,2,0,1,1
6,"B",25,1,0,1,1
6,"B",31,1,0,1,1
6,"C",26,1,0,1,1
6,"C",28,1,0,1,1
6,"C",33,1,0,1,1
6,"D",33,1,0,1,1
7,"C",30,0,1,1,1
8,"A",23,1,0,1,1
8,"A",27,0,1,1,1
8,"C",24,0,1,1,1
9,"A",24,1,0,1,1
9,"A",27,1,0,1,1
9,"B",23,0,1,1,1
9,"B",24,0,1,1,1
9,"B",46,0,1,1,1
9,"C",23,1,0,1,1
9,"C",34,0,1,1,1
9,"D",24,0,2,1,1
9,"D",27,1,0,1,1
9,"D",37,1,0,1,1
10,"A",24,1,0,1,1
10,"B",25,1,0,1,1
10,"B",28,2,0,1,1
10,"B",30,1,0,1,1
10,"B",31,1,0,1,1
10,"B",32,4,0,1,1
11,"C",24,1,0,1,1
13,"B",25,1,0,1,1
13,"B",27,1,0,1,1
14,"D",28,1,0,1,1
16,"A",28,1,0,1,1
17,"A",28,1,0,1,1
17,"B",31,0,1,1,1
17,"B",37,0,1,1,1
17,"D",27,0,1,1,1
18,"A",36,2,0,1,1
18,"A",40,1,0,1,1
18,"B",28,0,1,1,1
18,"B",29,1,0,1,1
18,"B",30,1,0,1,1
18,"C",27,0,1,1,1
18,"C",29,1,0,1,1
18,"C",33,0,1,1,1
18,"C",35,1,2,1,1
18,"C",36,1,0,1,1
18,"D",28,0,1,1,1
18,"D",29,0,1,1,1
19,"C",27,1,0,1,1
19,"D",42,1,0,1,1
20,"A",24,1,0,1,1
20,"B",28,0,1,1,1
20,"D",28,1,0,1,1
