"haul","string","l","n_1","n_2","q_1","q_2"
1,"A",20,1,0,1,1
1,"A",21,2,0,1,1
1,"A",23,1,0,1,1
1,"A",24,2,1,1,1
1,"A",25,0,1,1,1
1,"A",26,1,0,1,1
1,"A",46,1,0,1,1
1,"B",22,1,1,1,1
1,"B",23,1,0,1,1
1,"B",24,1,0,1,1
1,"B",25,0,1,1,1
1,"B",27,0,1,1,1
1,"B",33,1,0,1,1
1,"C",20,1,0,1,1
1,"C",23,1,1,1,1
1,"C",24,1,2,1,1
1,"C",25,1,1,1,1
1,"C",26,1,0,1,1
1,"C",36,1,0,1,1
2,"A",23,1,0,1,1
2,"B",28,0,1,1,1
2,"C",23,0,1,1,1
3,"A",23,1,0,1,1
3,"A",24,1,0,1,1
3,"A",26,0,1,1,1
3,"A",27,1,0,1,1
3,"A",28,1,0,1,1
3,"A",34,1,0,1,1
3,"B",23,0,1,1,1
3,"B",24,0,1,1,1
3,"B",25,2,0,1,1
3,"B",27,1,0,1,1
3,"B",28,1,0,1,1
3,"C",22,0,1,1,1
3,"C",25,0,1,1,1
3,"C",26,0,1,1,1
3,"C",27,2,0,1,1
3,"C",28,0,1,1,1
3,"D",21,0,1,1,1
3,"D",23,1,0,1,1
3,"D",24,2,4,1,1
3,"D",25,2,6,1,1
3,"D",26,2,0,1,1
3,"D",27,2,2,1,1
3,"D",28,1,1,1,1
3,"D",29,0,1,1,1
3,"D",30,1,0,1,1
4,"A",25,1,0,1,1
4,"A",27,1,0,1,1
4,"B",25,1,0,1,1
4,"B",26,0,1,1,1
4,"C",28,1,1,1,1
4,"D",23,1,0,1,1
4,"D",24,1,1,1,1
4,"D",25,1,0,1,1
4,"D",26,0,1,1,1
4,"D",27,2,1,1,1
4,"D",28,0,1,1,1
4,"D",35,1,0,1,1
5,"A",29,1,0,1,1
5,"B",28,1,0,1,1
10,"A",27,1,0,1,1
11,"A",23,1,0,1,1
11,"A",28,0,1,1,1
11,"B",26,0,1,1,1
11,"B",29,1,1,1,1
12,"B",29,1,0,1,1
12,"C",27,1,0,1,1
12,"C",28,2,0,1,1
12,"C",31,1,0,1,1
12,"C",32,1,0,1,1
13,"B",26,1,0,1,1
13,"B",28,1,0,1,1
16,"C",28,1,0,1,1
17,"D",29,0,1,1,1
18,"A",24,1,1,1,1
18,"A",26,2,1,1,1
18,"A",27,1,0,1,1
18,"A",31,0,1,1,1
18,"B",29,1,0,1,1
